jobTitle,company,location,companyReviews,link,link_parameters
Edge Data Engineer,Cloudflare,London,4,https://www.indeed.co.uk/jobs?q=Big+Data&start=20['/rc/clk?jk=7f320eb4ce782f9b&fccid=ac78d824c818d8e5'],'/rc/clk?jk=7f320eb4ce782f9b&fccid=ac78d824c818d8e5'
Petroleum Engineer Specialized in Reservoirs,GeneralElectric,"Rio de Janeiro, RJ",3690,http://www.indeed.com.br/empregos?q=Data+Analysis&start=120['/rc/clk?jk=d128732170830edc&fccid=c5c99ec01e2125aa'],'/rc/clk?jk=d128732170830edc&fccid=c5c99ec01e2125aa'
Market Analyst to H&M´s Global Marketing Function,H&M,Stockholm,3664,http://se.indeed.com/jobb?q=Big+Data&start=20['/rc/clk?jk=ef4aee074b32b59a&fccid=7c13ea7d2941e927'],'/rc/clk?jk=ef4aee074b32b59a&fccid=7c13ea7d2941e927'
Steward,AlRahaBeachHotel,Abu Dhabi,18,http://www.indeed.ae/jobs?q=Machine+learning&start=20['/rc/clk?jk=4cdc41e21fd4dfc5&fccid=f425cbc375b3dad8'],'/rc/clk?jk=4cdc41e21fd4dfc5&fccid=f425cbc375b3dad8'
Data Scientist - Data Platform Focus,TheIconic,Sydney Central Business District NSW,7,http://au.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=c091e0550025ca4d&fccid=0a10db5537815cde'],'/rc/clk?jk=c091e0550025ca4d&fccid=0a10db5537815cde'
EMEA Supply Chain Analyst,EdwardsLifesciences,Česko,143,http://cz.indeed.com/jobs?q=Data+Analysis&start=70['/rc/clk?jk=e56c0c76935d6987&fccid=aa766df99c78f464'],'/rc/clk?jk=e56c0c76935d6987&fccid=aa766df99c78f464'
Database Developer II,S&PGLOBALMARKETINTELLIGENCE,Islamabad,109,http://www.indeed.com.pk/jobs?q=Data+Science&start=80['/rc/clk?jk=5a698805700c5e3a&fccid=b716e44d2c6283e7'],'/rc/clk?jk=5a698805700c5e3a&fccid=b716e44d2c6283e7'
Electrical Engineer - Offshore LQE & GTG,Matchtech,Qatar,12,http://qa.indeed.com/jobs?q=Data+Science&start=50['/rc/clk?jk=079221460fcb715e&fccid=6a85183fe8b16fbc'],'/rc/clk?jk=079221460fcb715e&fccid=6a85183fe8b16fbc'
Database Analyst,MindGeek,"Montréal, QC",33,http://ca.indeed.com/jobs?q=Python+Data&start=30['/rc/clk?jk=3e53c785b97c0920&fccid=6f250882b448d8bc'],'/rc/clk?jk=3e53c785b97c0920&fccid=6f250882b448d8bc'
BI DATA SCIENTIST,HAYS,Ghent,482,http://be.indeed.com/jobs?q=Machine+learning&start=130['/rc/clk?jk=6685708d9ca8c953&fccid=31670bef3ae6497b'],'/rc/clk?jk=6685708d9ca8c953&fccid=31670bef3ae6497b'
Data Engineer (H/F),Ubisoft,Montreuil (93),134,http://www.indeed.fr/emplois?q=Data+Science&start=100['/rc/clk?jk=6fc305bf47c1258e&fccid=237908de095b6446'],'/rc/clk?jk=6fc305bf47c1258e&fccid=237908de095b6446'
Business Analyst II,Honeywell,Brno,5125,http://cz.indeed.com/jobs?q=Data+Analysis&start=110['/rc/clk?jk=617c3bac103512c2&fccid=50208b5bf45ee3b8'],'/rc/clk?jk=617c3bac103512c2&fccid=50208b5bf45ee3b8'
